title,rating,sold,price,price_display
"ASUS ROG Strix G16 (2025) Gaming Laptop, 16” FHD+ 16:10 165Hz/3ms Display, NVIDIA® GeForce RTX™ 5060 Laptop GPU, Intel® Core™ i7 Processor 14650HX, 16GB DDR5, 1TB Gen 4 SSD, Wi-Fi 7, Windows 11 Home",4.4,Top Reviewed for Speed,391297.2,"$391,297.20"
"acer Nitro V Gaming Laptop | Intel Core i5-13420H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 8GB DDR5 | 512GB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-586Z",4.4,1K+ bought in past month,181672.2,"$181,672.20"
"acer Nitro V Gaming Laptop | Intel Core i7-13620H Processor | NVIDIA GeForce RTX 4050 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 16GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-76NK",4.6,500+ bought in past month,265522.2,"$265,522.20"
"2026 New Gaming Laptop, 16.0inch Laptop Computer with AMD Ryzen 7 7730U(8C/16T, Up to 4.5GHz), 16GB RAM 512GB NVMe SSD Windows 11 Laptop, Radeon RX Vega 8 Graphics,WiFi 6, Backlit KB",5.0,Top Reviewed for Speed,176082.2,"$176,082.20"
"Acer Nitro V 16S AI Gaming Laptop | NVIDIA GeForce RTX 5060 GPU | AMD Ryzen 7 260 Processor | 16"" WUXGA IPS 180Hz Display | 32GB DDR5 | 1TB Gen 4 SSD | Wi-Fi 6 | ANV16S-41-R2AJ",4.1,500+ bought in past month,335397.2,"$335,397.20"
"Gaming Laptop, Laptop with AMD Ryzen 4300U(Up to 3.7GHz), 16GB DDR4 512GB SSD Laptop Computer, 16.0inch Windοws 11 Laptop, 1920P FHD Display, WiFi 6, USB3.2, Type_C",5.0,300+ bought in past month,99608.21,"$99,608.21"
"msi Katana 15 HX 15.6” 165Hz QHD+ Gaming Laptop: Intel Core i9-14900HX, NVIDIA Geforce RTX 5070, 32GB DDR5, 1TB NVMe SSD, RGB Keyboard, Win 11 Home: Black B14WGK-016US",4.3,400+ bought in past month,446920.5,"$446,920.50"
"Gaming Laptop, 16.0inch Laptop Computer with AMD Ryzen 7 7730U(8C/16T, Up to 4.5GHz), 16GB RAM 512GB NVMe SSD Windows 11 Laptop, Radeon RX Vega 8 Graphics,WiFi 6, Backlit KB",5.0,100+ bought in past month,150924.41,"$150,924.41"
"Alienware 16 Aurora Laptop AC16250-16-inch 16:10 WQXGA Display, Intel Core 7-240H Series 2, 16GB DDR5 RAM, 1TB SSD, NVIDIA GeForce RTX 5060 8GB GDDR7, Windows 11 Home, Onsite Service - Blue",4.2,500+ bought in past month,,
"Lenovo Legion Pro 7i – AI-Powered Gaming Laptop – Intel® Core Ultra 7 255HX – 16"" WQXGA PureSight OLED Display – 240Hz – NVIDIA® GeForce RTX™ 5070 Ti – 32GB Memory – 2TB Storage – PC GamePass",4.3,200+ bought in past month,527595.38,"$527,595.38"
"ASUS ROG Strix G16 (2025) Gaming Laptop, 16” ROG Nebula Display 16:10 2.5K 240Hz/3ms, NVIDIA® GeForce RTX™ 5070 Ti GPU, Intel® Core™ Ultra 9 275HX Processor, 32GB DDR5, 1TB SSD, Wi-Fi 7, Win11 Home",4.4,Top Reviewed for Speed,670797.2,"$670,797.20"
"ASUS ROG Flow Z13 (2025) Gaming Laptop, 13” ROG Nebula 16:10 2.5K 180Hz/3ms, AMD Ryzen AI MAX+ 395, RDNA 3.5 Graphics, 128GB LPDDR5X 8000MHz, 1TB PCIe Gen 4 SSD, Wi-Fi 7, Win 11 Pro, GZ302EA-XS99",4.2,100+ bought in past month,782597.2,"$782,597.20"
"acer Nitro V Gaming Laptop | Intel Core i9-13900H Processor | NVIDIA GeForce RTX 5060 Laptop GPU | 15.6"" FHD IPS 165Hz Display | 16GB DDR4 | 1TB Gen 4 SSD | Wi-Fi 6 | Backlit KB | ANV15-52-98KV",4.0,200+ bought in past month,307447.2,"$307,447.20"
"ASUS ROG Strix G16 (2025) Gaming Laptop, 16” ROG Nebula Display 16:10 2.5K 240Hz/3ms, NVIDIA® GeForce RTX™ 5060 Laptop GPU, Intel® Core™ Ultra 9 Processor 275HX, 32GB DDR5, 1TB PCIe SSD, Wi-Fi 7",4.4,Top Reviewed for Speed,502820.5,"$502,820.50"
"ASUS ROG Strix G18 ROG Nebula Display 2.5K 240Hz 3ms 18"" Gaming Laptop AMD Ryzen 9 8940HX 16GB RAM 1TB SSD NVIDIA GeForce RTX 5070 Eclipse Grey",4.0,,586670.5,"$586,670.50"
"acer Nitro V 15.6” FHD IPS 165Hz Gaming Laptop, Intel Core i5-13420H, NVIDIA GeForce RTX 5050 with 8GB GDDR7 VRAM, Win11H, w/Mouse pad (16GB RAM, 512GB PCIe SSD)",4.4,300+ bought in past month,,
